No;KECAMATAN;KC1;KC2;KC3;KC4;KC5;KC6;KC7;KC8;KC9;KC10;KC11;KC12;KC13;KC14;KC15;KC16;BUMIL;Stunting;GiziBuruk(TidakStunting);GiziKurang(TidakStunting);Underweight(TidakWastingdanTidakStunting);BalitaTidakNaikBBN(TSdanTW);JumPus
1; RONGGA ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24;142;1;237;93;1575;1
2; GUNUNG HALU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;27;557;1;283;74;2108;1
3;KEC. SINDANGKERTA;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;20;670;3;129;95;1787;2
4;CILILIN ;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;26;256;10;175;106;1786;2
5; CIHAMPELAS ;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;8;1136;6;237;141;2851;2
6; CIPONGKOR  ;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;34;371;12;212;112;2620;2
7; BATUJAJAR ;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;20;334;40;174;125;2333;1
8; SAGULING;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;157;0;6;62;982;1
9;CIPATAT ;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;54;815;36;364;238;3168;3
10;PADALARANG ;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;28;628;8;369;355;3409;3
11; NGAMPRAH ;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;26;594;12;182;125;3074;2
12;PARONGPONG;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;18;960;12;107;132;1516;2
13; LEMBANG ;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;20;624;6;185;127;4227;4
14;CISARUA ;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;262;1;44;33;999;2
15;CIKALONG WETAN ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;516;0;285;267;3600;2
16;CIPEUNDEUY ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;345;18;243;258;1614;2
